country,country_code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lebanon,LBN,Middle East & North Africa,"(1804935.0, nan, 63.267)","(1864613.0, nan, 63.575)","(1925295.0, nan, 63.871)","(1984999.0, nan, 64.157)","(2041231.0, nan, 64.435)","(2092374.0, nan, 64.709)","(2136617.0, nan, 64.982)","(2174732.0, nan, 65.255)","(2210769.0, nan, 65.528)","(2250454.0, nan, 65.8)","(2297436.0, nan, 66.067)","(2354046.0, nan, 66.323)","(2417837.0, nan, 66.565)","(2481943.0, nan, 66.789)","(2536772.0, nan, 66.995)","(2575746.0, nan, 67.183)","(2596409.0, nan, 67.352)","(2601734.0, nan, 67.507)","(2597202.0, nan, 67.656)","(2590911.0, nan, 67.802)","(2588928.0, nan, 67.952)","(2594299.0, nan, 68.113)","(2606148.0, nan, 68.287)","(2622072.0, nan, 68.478)","(2638056.0, nan, 68.689)","(2651992.0, nan, 68.918)","(2660873.0, nan, 69.163)","(2667957.0, nan, 69.42)","(2684682.0, 1234.23931323429, 69.689)","(2726438.0, 996.904638106576, 69.969)","(2803032.0, 1012.64821591829, 70.266)","(2921700.0, 1605.37190421215, 70.584)","(3076133.0, 1899.65101018104, 70.929)","(3246129.0, 2446.52769255969, 71.3)","(3403359.0, 2820.48618730422, 71.699)","(3528379.0, 3321.29726667512, 72.125)","(3610663.0, 3791.60761701374, 72.576)","(3658425.0, 4305.64176918882, 73.046)","(3693514.0, 4669.58538820266, 73.528)","(3747762.0, 4640.38441321154, 74.017)","(3842774.0, 4491.64193430433, 74.507)","(3990999.0, 4422.38929245061, 74.999)","(4182205.0, 4579.45959271967, 75.488)","(4388378.0, 4576.38761739193, 75.969)","(4569377.0, 4630.79058524604, 76.432)","(4698761.0, 4575.10745896031, 76.865)","(4759760.0, 4626.85300341662, 77.26)","(4767347.0, 5207.79272300926, 77.609)","(4764745.0, 6111.32728102035, 77.911)","(4813026.0, 7354.95360478492, 78.161)","(4953064.0, 7761.64148945415, 78.36)","(5202022.0, 7675.30893971499, 78.507)","(5537620.0, 7952.15123928179, 78.611)","(5913016.0, 7933.2332493476, 78.683)","(6261046.0, 7687.93051905549, 78.732)","(6532681.0, 7644.54514657966, 78.768)","(6714281.0, 7626.30019562992, 78.8)","(6819373.0, 7792.5988604995, 78.833)","(6859408.0, 8012.53923684943, 78.875)","(6855709.0, 7583.69914645363, 78.93)","(6825442.0, 4891.00147031944, nan)"
Liberia,LBR,Sub-Saharan Africa,"(1118655.0, nan, 34.264)","(1142304.0, nan, 34.56)","(1166651.0, nan, 34.911)","(1191796.0, nan, 35.322)","(1217905.0, nan, 35.796)","(1245104.0, nan, 36.324)","(1273458.0, nan, 36.895)","(1303032.0, nan, 37.491)","(1333980.0, nan, 38.099)","(1366500.0, nan, 38.714)","(1400730.0, nan, 39.338)","(1436740.0, nan, 39.98)","(1474567.0, nan, 40.65)","(1514364.0, nan, 41.346)","(1556288.0, nan, 42.061)","(1600454.0, nan, 42.786)","(1645833.0, nan, 43.514)","(1692155.0, nan, 44.226)","(1740919.0, nan, 44.902)","(1794251.0, nan, 45.52)","(1852991.0, nan, 46.053)","(1918832.0, nan, 46.474)","(1989477.0, nan, 46.776)","(2057232.0, nan, 46.962)","(2111667.0, nan, 47.038)","(2145756.0, nan, 47.004)","(2158434.0, nan, 46.862)","(2153312.0, nan, 46.645)","(2134105.0, nan, 46.399)","(2106429.0, nan, 46.174)","(2075917.0, nan, 46.046)","(2040141.0, nan, 46.097)","(2001612.0, nan, 46.357)","(1976701.0, nan, 46.832)","(1986491.0, nan, 47.506)","(2044657.0, nan, 48.314)","(2160480.0, nan, 49.163)","(2326210.0, nan, 49.963)","(2517472.0, nan, 50.657)","(2699708.0, nan, 51.234)","(2848447.0, 306.833864207408, 51.734)","(2953928.0, 306.710251570113, 52.236)","(3024727.0, 306.473939631577, 52.826)","(3077055.0, 243.089577534363, 53.554)","(3135654.0, 286.064725253488, 54.422)","(3218114.0, 294.893220066163, 55.393)","(3329211.0, 336.11567425435, 56.4)","(3461911.0, 396.601761281558, 57.365)","(3607863.0, 478.399540115575, 58.229)","(3754129.0, 470.948121388477, 58.971)","(3891357.0, 513.44556667507, 59.6)","(4017446.0, 596.89663532503, 60.146)","(4135662.0, 657.935779084461, 60.663)","(4248337.0, 721.929545608081, 61.186)","(4359508.0, 721.182298552956, 61.723)","(4472229.0, 710.384016560869, 62.269)","(4586788.0, 714.623392230031, 62.802)","(4702224.0, 698.702358713664, 63.295)","(4818976.0, 677.322319098497, 63.73)","(4937374.0, 621.892953622715, 64.104)","(5057677.0, 583.271727316711, nan)"
Libya,LBY,Middle East & North Africa,"(1448416.0, nan, 42.609)","(1498076.0, nan, 44.211)","(1550815.0, nan, 45.833)","(1607168.0, nan, 47.415)","(1667822.0, nan, 48.914)","(1733307.0, nan, 50.303)","(1803689.0, nan, 51.581)","(1878869.0, nan, 52.778)","(1958909.0, nan, 53.921)","(2043820.0, nan, 55.011)","(2133527.0, nan, 56.052)","(2228142.0, nan, 57.046)","(2327487.0, nan, 57.995)","(2430754.0, nan, 58.902)","(2536895.0, nan, 59.77)","(2645136.0, nan, 60.6)","(2754698.0, nan, 61.393)","(2865639.0, nan, 62.15)","(2979102.0, nan, 62.869)","(3096724.0, nan, 63.548)","(3219462.0, nan, 64.185)","(3347779.0, nan, 64.771)","(3480443.0, nan, 65.306)","(3614682.0, nan, 65.793)","(3746712.0, nan, 66.235)","(3873781.0, nan, 66.644)","(3994601.0, nan, 67.03)","(4109717.0, nan, 67.405)","(4220451.0, nan, 67.775)","(4328935.0, nan, 68.141)","(4436663.0, 6514.31856739899, 68.503)","(4544245.0, 7040.7762937139, 68.85)","(4650896.0, 7284.9171526206, 69.175)","(4755134.0, 6447.14328205899, 69.469)","(4854871.0, 5892.62246696513, 69.732)","(4948796.0, 5161.68542792943, 69.965)","(5036173.0, 5536.86606568428, 70.169)","(5118008.0, 5998.16043842337, 70.352)","(5196774.0, 5243.59653546637, 70.522)","(5275921.0, 6819.03957638971, 70.684)","(5357893.0, 7142.77178555264, 70.852)","(5443249.0, 6266.4898210897, 71.038)","(5531097.0, 3703.04295219909, 71.244)","(5620545.0, 4673.14557574043, 71.466)","(5710163.0, 5800.58882597707, 71.693)","(5798615.0, 8163.00937006792, 71.902)","(5886874.0, 9336.35349807157, 72.063)","(5974786.0, 11300.1932349905, 72.155)","(6058740.0, 14382.5952856913, 72.174)","(6133987.0, 10275.261539034, 72.129)","(6197667.0, 12064.7729057622, 72.044)","(6247438.0, 5554.18005326459, 71.956)","(6285751.0, 13025.2793212496, 71.901)","(6320350.0, 10363.8042471988, 71.907)","(6362039.0, 6466.90823717602, 71.981)","(6418315.0, 4337.91913919348, 72.121)","(6492160.0, 4035.19680169994, 72.311)","(6580723.0, 5756.69932474775, 72.52)","(6678565.0, 7877.12460954542, 72.724)","(6777453.0, 7685.94813248318, 72.913)","(6871287.0, 3699.22862081017, nan)"
St. Lucia,LCA,Latin America & Caribbean,"(89698.0, nan, 56.739)","(90718.0, nan, 57.589)","(91892.0, nan, 58.428)","(93214.0, nan, 59.246)","(94637.0, nan, 60.035)","(96138.0, nan, 60.781)","(97721.0, nan, 61.471)","(99370.0, nan, 62.099)","(101028.0, nan, 62.67)","(102599.0, nan, 63.188)","(104016.0, nan, 63.667)","(105244.0, nan, 64.124)","(106303.0, nan, 64.578)","(107311.0, nan, 65.04)","(108389.0, nan, 65.515)","(109634.0, nan, 65.997)","(111074.0, nan, 66.478)","(112685.0, nan, 66.94)","(114398.0, nan, 67.374)","(116148.0, nan, 67.775)","(117828.0, 1445.9243165493, 68.144)","(119435.0, 1628.03570514878, 68.484)","(120987.0, 1515.31431751621, 68.803)","(122571.0, 1607.53389494283, 69.11)","(124296.0, 2023.24677770388, 69.407)","(126246.0, 2253.09668777185, 69.698)","(128448.0, 2646.98555057299, 69.985)","(130868.0, 2869.72793620714, 70.266)","(133364.0, 3221.48128152747, 70.54)","(135787.0, 3584.04461890068, 70.81)","(138019.0, 4199.63649663908, 71.074)","(140001.0, 4383.56657240808, 71.335)","(141758.0, 4755.10429093296, 71.592)","(143402.0, 4775.48998490129, 71.843)","(145080.0, 4919.38036740904, 72.087)","(146871.0, 5194.78292489983, 72.323)","(148837.0, 5300.35467584599, 72.547)","(150920.0, 5340.08697274003, 72.759)","(153023.0, 5733.82698945523, 72.958)","(154988.0, 5947.8917842146, 73.144)","(156737.0, 5950.04748459261, 73.319)","(158184.0, 5642.7489037614, 73.486)","(159392.0, 5646.45653483236, 73.648)","(160530.0, 6150.92136926062, 73.808)","(161821.0, 6591.64550130494, 73.966)","(163408.0, 6949.20417333029, 74.122)","(165378.0, 7669.21346965851, 74.276)","(167644.0, 7969.79799345527, 74.426)","(170011.0, 8456.69463217739, 74.571)","(172223.0, 8137.75099080198, 74.712)","(174092.0, 8540.07097992462, 74.852)","(175538.0, 8983.74373302309, 74.993)","(176654.0, 9086.38795485966, 75.138)","(177505.0, 9378.98504684792, 75.286)","(178307.0, 9843.30853424047, 75.44)","(179131.0, 10093.6180163617, 75.596)","(180028.0, 10361.5838770759, 75.752)","(180955.0, 11047.4449858109, 75.907)","(181890.0, 11357.8265659139, 76.057)","(182795.0, 11611.0978398185, 76.203)","(183629.0, 9276.11782856052, nan)"
Liechtenstein,LIE,Europe & Central Asia,"(16501.0, nan, nan)","(16894.0, nan, nan)","(17300.0, nan, nan)","(17724.0, nan, nan)","(18170.0, nan, nan)","(18642.0, nan, nan)","(19160.0, nan, nan)","(19688.0, nan, nan)","(20237.0, nan, nan)","(20766.0, nan, nan)","(21268.0, 4236.33301981602, nan)","(21729.0, 4827.12633678237, nan)","(22161.0, 5637.91909257134, nan)","(22560.0, 7355.08030713738, nan)","(22985.0, 8439.57887586987, nan)","(23436.0, 10513.2052900307, nan)","(23933.0, 11385.6966958026, nan)","(24451.0, 12412.4279687449, nan)","(24968.0, 17499.125950568, nan)","(25463.0, 19761.2484779715, nan)","(25881.0, 20660.017604318, nan)","(26229.0, 19507.365532847, nan)","(26533.0, 19677.018485588, nan)","(26790.0, 19560.8103716538, nan)","(27028.0, 18596.1726878449, nan)","(27286.0, 19390.1266423762, nan)","(27552.0, 28287.0632840601, nan)","(27835.0, 37824.4421641633, nan)","(28135.0, 41292.2577223232, nan)","(28449.0, 39368.7270879983, nan)","(28790.0, 49373.6102661458, nan)","(29166.0, 50886.375310814, nan)","(29552.0, 55197.547010659, nan)","(29987.0, 55794.3273343011, nan)","(30415.0, 64051.2322104721, 78.4219512195122)","(30884.0, 78631.6991111526, 77.390243902439)","(31354.0, 79863.2790848754, 76.8365853658537)","(31830.0, 72208.9346743391, 76.0463414634146)","(32306.0, 76757.3002189873, 77.7463414634146)","(32765.0, 81307.0683674829, 79.109756097561)","(33184.0, 74853.938729354, 76.8268292682927)","(33543.0, 74287.4133739546, 79.2756097560976)","(33885.0, 79345.7524725702, 79.6365853658537)","(34172.0, 89859.8653728723, 79.9609756097561)","(34444.0, 100289.243002178, 81.7707317073171)","(34718.0, 105399.260494824, 80.6682926829268)","(34975.0, 114374.246536419, 80.9487804878049)","(35217.0, 130655.636959737, 81.2951219512195)","(35469.0, 143264.059432586, 82.6829268292683)","(35723.0, 126096.610425402, 81.5)","(35996.0, 141192.534673018, 81.8414634146342)","(36299.0, 158130.45751887, 81.7926829268293)","(36615.0, 149010.224898665, 82.3829268292683)","(36940.0, 173030.208279363, 82.2609756097561)","(37219.0, 178864.851913785, 82.0731707317073)","(37465.0, 167313.266280449, 82.6560975609756)","(37655.0, 165642.386275555, 82.2585365853659)","(37805.0, 171253.964253797, 83.7463414634147)","(37918.0, 180366.715197575, 83.0414634146342)","(38020.0, nan, 83.0414634146342)","(38137.0, nan, nan)"
Sri Lanka,LKA,South Asia,"(9874476.0, nan, 59.369)","(10111639.0, nan, 59.769)","(10352180.0, 138.536653980207, 60.177)","(10597516.0, 117.071988276079, 60.611)","(10849977.0, 120.714347980615, 61.078)","(11110825.0, 152.852675452191, 61.579)","(11380665.0, 153.898791347895, 62.104)","(11657650.0, 159.50599139416, 62.631)","(11937607.0, 150.896619214816, 63.144)","(12214948.0, 160.913187554085, 63.634)","(12485736.0, 183.927530442362, 64.097)","(12747831.0, 185.859743538902, 64.528)","(13002234.0, 196.422887667512, 64.934)","(13252033.0, 216.995007483003, 65.321)","(13501931.0, 264.746314150577, 65.694)","(13755141.0, 275.627719520027, 66.067)","(14012894.0, 256.286806801844, 66.459)","(14273495.0, 287.561636646356, 66.874)","(14533691.0, 188.058481255879, 67.308)","(14788866.0, 227.509765268107, 67.751)","(15035840.0, 267.668577184682, 68.171)","(15272822.0, 289.130859761487, 68.529)","(15501210.0, 307.638243518979, 68.801)","(15724641.0, 328.650638330468, 68.975)","(15948501.0, 378.936856997864, 69.057)","(16176282.0, 369.581896014033, 69.079)","(16408861.0, 390.350711355465, 69.086)","(16643956.0, 401.477095923903, 69.121)","(16878186.0, 413.45507042426, 69.209)","(17106752.0, 408.450866872481, 69.352)","(17325769.0, 463.618738841557, 69.509)","(17535732.0, 513.258447470619, 69.62)","(17736827.0, 547.054534380126, 69.639)","(17924827.0, 576.779883887392, 69.557)","(18094474.0, 647.57915642214, 69.403)","(18242917.0, 714.233231504348, 69.259)","(18367290.0, 756.656990511326, 69.237)","(18470897.0, 817.064481692963, 69.419)","(18564595.0, 850.811603871151, 69.845)","(18663293.0, 838.883462825646, 70.503)","(18777606.0, 869.696285031043, 71.333)","(18911727.0, 832.80357234611, 72.233)","(19062476.0, 867.491486787101, 73.085)","(19224036.0, 982.195696950166, 73.799)","(19387153.0, 1065.78443680197, 74.337)","(19544988.0, 1248.69818517034, 74.695)","(19695977.0, 1435.81681297616, 74.904)","(19842044.0, 1630.38890604323, 75.037)","(19983984.0, 2037.32210302668, 75.157)","(20123508.0, 2090.4018261396, 75.286)","(20261738.0, 2799.64873802555, 75.439)","(20398496.0, 3200.86113238282, 75.614)","(20425000.0, 3350.52187589289, 75.796)","(20585000.0, 3610.28936304898, 75.974)","(20778000.0, 3819.25352972265, 76.147)","(20970000.0, 3843.78067184442, 76.316)","(21203000.0, 3886.29150165239, 76.482)","(21444000.0, 4076.74700282733, 76.648)","(21670000.0, 4058.80351094171, 76.812)","(21803000.0, 3851.56098951535, 76.978)","(21919000.0, 3682.03842459282, nan)"
Lesotho,LSO,Sub-Saharan Africa,"(837264.0, 41.3003645371492, 47.919)","(852892.0, 41.8567485851429, 48.162)","(869132.0, 48.1620315633801, 48.383)","(886061.0, 53.0878339288329, 48.59)","(903757.0, 57.4700513752874, 48.797)","(922307.0, 59.501773728218, 49.015)","(941798.0, 60.2027887324878, 49.254)","(962279.0, 61.5838179817956, 49.523)","(983683.0, 62.4639961294217, 49.829)","(1005911.0, 65.5790429435474, 50.18)","(1028930.0, 66.8059296818009, 50.584)","(1052619.0, 72.6588660363127, 51.048)","(1077102.0, 75.123648386158, 51.565)","(1102885.0, 109.876874013125, 52.129)","(1130634.0, 133.417366228912, 52.731)","(1160795.0, 128.843175462262, 53.367)","(1193517.0, 123.713440056779, 54.03)","(1228527.0, 157.348815051921, 54.709)","(1265211.0, 210.683702265073, 55.39)","(1302670.0, 222.729100858028, 56.058)","(1340258.0, 321.998731943126, 56.702)","(1377808.0, 315.129563907333, 57.319)","(1415362.0, 246.40114869501, 57.901)","(1452727.0, 266.188560451598, 58.437)","(1489685.0, 223.643573132656, 58.91)","(1526132.0, 176.018137716736, 59.309)","(1561687.0, 204.178486727895, 59.632)","(1596395.0, 252.302752546995, 59.868)","(1630993.0, 288.406620800279, 60.0)","(1666564.0, 297.261244148094, 60.003)","(1703757.0, 350.058784526869, 59.837)","(1742534.0, 404.198249659129, 59.464)","(1782284.0, 466.2747020643, 58.868)","(1822237.0, 458.553306884248, 58.05)","(1861323.0, 471.842044933996, 57.022)","(1898598.0, 527.699837938563, 55.782)","(1934294.0, 489.131060677498, 54.334)","(1968054.0, 507.097888902354, 52.728)","(1997524.0, 464.80453098858, 51.034)","(2019732.0, 451.92693417393, 49.328)","(2032805.0, 436.488137266071, 47.691)","(2035738.0, 405.605712148955, 46.197)","(2029832.0, 382.189608635899, 44.898)","(2018355.0, 573.651778082285, 43.845)","(2005953.0, 753.375904380843, 43.083)","(1996115.0, 842.812630961302, 42.658)","(1989933.0, 904.606129755869, 42.595)","(1986926.0, 846.542320764829, 42.854)","(1987130.0, 889.134285513762, 43.384)","(1990135.0, 874.729860474201, 44.146)","(1995575.0, 1119.84364083093, 45.1)","(2003793.0, 1287.26953644869, 46.207)","(2014988.0, 1229.63623247423, 47.416)","(2028528.0, 1166.9117557183, 48.663)","(2043448.0, 1194.5756269342, 49.891)","(2059011.0, 1146.06468787308, 51.038)","(2075041.0, 1018.93109291945, 52.059)","(2091532.0, 1102.94441037887, 52.947)","(2108327.0, 1192.4843195181, 53.705)","(2125267.0, 1113.37214033581, 54.331)","(2142252.0, 861.014548091526, nan)"
Lithuania,LTU,Europe & Central Asia,"(2778550.0, nan, 69.8473170731707)","(2823550.0, nan, 70.1026829268293)","(2863350.0, nan, 69.0953658536585)","(2898950.0, nan, 70.2043902439024)","(2935200.0, nan, 71.5090243902439)","(2971450.0, nan, 71.3251219512195)","(3008050.0, nan, 71.520243902439)","(3044400.0, nan, 71.6039024390244)","(3078850.0, nan, 71.3136585365854)","(3107321.0, nan, 70.9285365853659)","(3139689.0, nan, 70.8043902439024)","(3179041.0, nan, 71.7353658536585)","(3213622.0, nan, 71.0246341463415)","(3244438.0, nan, 71.3321951219512)","(3273894.0, nan, 71.2441463414634)","(3301652.0, nan, 70.8673170731707)","(3328664.0, nan, 70.9580487804878)","(3355036.0, nan, 70.809512195122)","(3379514.0, nan, 70.6046341463415)","(3397842.0, nan, 70.4821951219512)","(3413202.0, nan, 70.4821951219512)","(3432947.0, nan, 70.4607317073171)","(3457179.0, nan, 70.8368292682927)","(3485192.0, nan, 70.7778048780488)","(3514205.0, nan, 70.32)","(3544543.0, nan, 70.5012195121951)","(3578914.0, nan, 72.0807317073171)","(3616367.0, nan, 71.9346341463415)","(3655049.0, nan, 71.7621951219512)","(3684255.0, nan, 71.4253658536585)","(3697838.0, nan, 71.1607317073171)","(3704134.0, nan, 70.3641463414634)","(3700114.0, nan, 70.2343902439025)","(3682613.0, nan, 68.9104878048781)","(3657144.0, nan, 68.530243902439)","(3629102.0, 534.631845563999, 69.0063414634147)","(3601613.0, 674.083320445589, 70.1080487804878)","(3575137.0, 819.719286281896, 70.9090243902439)","(3549331.0, 917.145794517333, 71.219512195122)","(3524238.0, 901.654485310016, 71.5707317073171)","(3499536.0, 953.801732572547, 72.0195121951219)","(3470818.0, 1021.15798062589, 71.6585365853659)","(3443067.0, 1199.2395207835, 71.7609756097561)","(3415213.0, 1592.76581758416, 72.0609756097561)","(3377075.0, 1940.27174848743, 71.9609756097561)","(3322528.0, 2276.27573923439, 71.2536585365854)","(3269909.0, 2672.72886122282, 71.0560975609756)","(3231294.0, 3557.52100836858, 70.9)","(3198231.0, 4332.45281224873, 71.8121951219512)","(3162916.0, 3423.41073075337, 72.9146341463415)","(3097282.0, 3472.7360454597, 73.2682926829268)","(3028115.0, 4168.36603809444, 73.5634146341464)","(2987773.0, 4162.72605506487, 73.8634146341464)","(2957689.0, 4554.74595398257, 73.9146341463415)","(2932367.0, 4797.54302288218, 74.5170731707317)","(2904910.0, 14263.9645773495, 74.3219512195122)","(2868231.0, 15008.3132445526, 74.6707317073171)","(2828403.0, 16885.4073948373, 75.4804878048781)","(2801543.0, 19176.1765182085, 75.6804878048781)","(2794137.0, 19555.2110652539, 76.1341463414634)","(2794700.0, 19997.5925262112, nan)"
Luxembourg,LUX,Europe & Central Asia,"(313970.0, 2242.0158166161, 68.4463902439024)","(316845.0, 2222.36636636277, 68.7377317073171)","(320750.0, 2311.79884893619, 68.9981219512195)","(324100.0, 2441.03855530008, 69.2230731707317)","(327750.0, 2755.63311653279, 69.4110487804878)","(331500.0, 2780.09271886584, 69.5610243902439)","(333895.0, 2900.43321843978, 69.6744634146341)","(334995.0, 2909.66062936858, 69.7613414634146)","(335850.0, 3175.36736882691, 69.8351463414634)","(337500.0, 3658.90068296888, 69.9048536585366)","(339171.0, 110.304123770418, 69.9834634146341)","(342421.0, 113.396785790918, 70.0814390243902)","(346600.0, 140.807669041577, 70.2053170731707)","(350450.0, 191.118742774455, 70.3581707317073)","(355050.0, 230.118952634851, 70.5425609756098)","(358950.0, 223.296956153893, 70.7576097560976)","(360731.0, 243.562072622414, 70.998512195122)","(361358.0, 269.10713827449, 71.2562926829268)","(362007.0, 334.517401446248, 71.5224634146342)","(362856.0, 390.196541380878, 71.7944634146342)","(364150.0, 424.25162233971, 72.0726097560976)","(365225.0, 355.100935028416, 72.3576829268293)","(365525.0, 323.113148413574, 72.6534634146341)","(365622.0, 317.551791880563, 72.9588780487805)","(365998.0, 311.210264580469, 73.2719268292683)","(366706.0, 320.317804573919, 73.585756097561)","(368355.0, 465.78853270651, 73.8946097560976)","(370750.0, 575.977447423492, 74.193756097561)","(373450.0, 647.235104257503, 74.4803414634146)","(377100.0, 683.104671700622, 74.7524146341463)","(381850.0, 858.821839490633, 75.0104146341463)","(387000.0, 917.376318424314, 75.4634146341463)","(392175.0, 1015.55847529524, 75.7707317073171)","(397475.0, 1028.20934984216, 75.7121951219512)","(402925.0, 1127.51433109751, 76.3707317073171)","(408625.0, 1309.66951836149, 76.5121951219512)","(414225.0, 1303.19728470064, 76.519512195122)","(419450.0, 1166.13408392009, 76.880487804878)","(424700.0, 1179.56210140664, 77.0170731707317)","(430475.0, 51671.8503082351, 77.7707317073171)","(436300.0, 48857.3023435288, 77.8731707317073)","(441525.0, 48221.1440888011, 77.8243902439025)","(446175.0, 53182.942500969, 77.9658536585366)","(451630.0, 65590.3965771129, 77.7268292682927)","(458095.0, 75855.5878298264, 79.1219512195122)","(465158.0, 80319.6435044881, 79.4317073170732)","(472637.0, 89814.8976219779, 79.2878048780488)","(479993.0, 106153.269377539, 79.3829268292683)","(488650.0, 114760.706070659, 80.5390243902439)","(497783.0, 103607.788803077, 80.6365853658537)","(506953.0, 105067.718306431, 80.6317073170732)","(518347.0, 115913.192784097, 80.9878048780488)","(530946.0, 106742.907845005, 81.3926829268293)","(543360.0, 113657.436049014, 81.8)","(556319.0, 118981.906602226, 82.2292682926829)","(569604.0, 101417.274346399, 82.2926829268293)","(582014.0, 104349.226995645, 82.6853658536585)","(596336.0, 107627.151006695, 82.0951219512195)","(607950.0, 116654.26106674, 82.2951219512195)","(620001.0, 114685.168424149, 82.4463414634146)","(632275.0, 115873.602630203, nan)"
Latvia,LVA,Europe & Central Asia,"(2120979.0, nan, 69.7868292682927)","(2152681.0, nan, 70.0324390243903)","(2181586.0, nan, 69.430487804878)","(2210919.0, nan, 69.8290243902439)","(2240623.0, nan, 71.0280487804878)","(2265919.0, nan, 70.7265853658537)","(2283217.0, nan, 70.7073170731707)","(2301220.0, nan, 70.3939024390244)","(2323619.0, nan, 70.0429268292683)","(2343173.0, nan, 69.7968292682927)","(2359164.0, nan, 69.8353658536586)","(2376389.0, nan, 70.1646341463415)","(2395674.0, nan, 69.8787804878049)","(2415819.0, nan, 69.8134146341464)","(2437186.0, nan, 69.7409756097561)","(2456130.0, nan, 68.9253658536585)","(2470989.0, nan, 69.0478048780488)","(2485073.0, nan, 69.1046341463415)","(2497921.0, nan, 68.9878048780488)","(2505953.0, nan, 68.4956097560976)","(2511701.0, nan, 68.8085365853659)","(2519421.0, nan, 68.7863414634146)","(2531080.0, nan, 69.3282926829268)","(2546011.0, nan, 69.1190243902439)","(2562047.0, nan, 69.1629268292683)","(2578873.0, nan, 69.2914634146342)","(2599892.0, nan, 70.6224390243903)","(2626583.0, nan, 70.6929268292683)","(2653434.0, nan, 70.6153658536585)","(2666955.0, nan, 70.1553658536586)","(2663151.0, nan, 69.2731707317073)","(2650581.0, nan, 69.0324390243903)","(2614338.0, nan, 68.3960975609756)","(2563290.0, nan, 66.7226829268293)","(2520742.0, nan, 65.6643902439025)","(2485056.0, 3094.39864105075, 66.3912195121951)","(2457222.0, 3456.25219773064, 68.7765853658537)","(2432851.0, 3814.35236613226, 69.3492682926829)","(2410019.0, 4226.97901787948, 69.0121951219512)","(2390482.0, 4479.20996938616, 69.7429268292683)","(2367550.0, 4777.57146585716, 70.3146341463415)","(2337170.0, 5084.09607125881, 70.7609756097561)","(2310173.0, 5878.97164851769, 70.9609756097561)","(2287955.0, 7306.6283971913, 71.2658536585366)","(2263122.0, 9054.96544861992, 72.0268292682927)","(2238799.0, 10778.2543277768, 71.3560975609756)","(2218357.0, 13801.6471088946, 70.8658536585366)","(2200325.0, 20050.8603104331, 71.019512195122)","(2177322.0, 23365.1775896416, 72.419512195122)","(2141669.0, 17486.1854024262, 73.0804878048781)","(2097555.0, 16197.2931478365, 73.4829268292683)","(2059709.0, 19771.0351180042, 73.5756097560976)","(2034319.0, 19815.4070091409, 73.7780487804878)","(2012647.0, 21514.9343039876, 73.9829268292683)","(1993782.0, 15734.4654381528, 74.1243902439024)","(1977527.0, 13780.1459833762, 74.4804878048781)","(1959537.0, 14325.5175736568, 74.580487804878)","(1942248.0, 15682.2214493267, 74.6292682926829)","(1927174.0, 17858.2799784486, 74.7829268292683)","(1913822.0, 17794.4786167812, 75.2390243902439)","(1901548.0, 17619.9523907399, nan)"
